Title	URL
Designated bathing waters in England	https://www.gov.uk/government/publications/bathing-waters-list-of-designated-waters-in-england
Bank holidays	https://www.gov.uk/bank-holidays
Power stations	https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes
Food Standards hygiene ratings	http://ratings.food.gov.uk/open-data/en-GB
Driving licence codes	https://www.gov.uk/driving-licence-codes
Police forces	https://www.police.uk/forces/
'Banks' who are adopting or readopting the Code of Practice on Taxation	https://www.gov.uk/government/publications/banks-that-have-adopted-the-banking-code-of-practice
Official cattle breeds and codes	https://www.gov.uk/guidance/official-cattle-breeds-and-codes
Scheduled closing times for The Thames Barrier	https://www.gov.uk/guidance/the-thames-barrier
Fish species codes used by the Electronic Recording and Reporting of Fishing Activity Scheme (ERS)	http://www.fishregister.gov.uk/DocumentDownload.aspx?Filter=jDPScKB40nE=&amp;Authority=1vwUEIXV6E8=
The London Diplomatic List	https://www.gov.uk/government/publications/foreign-embassies-in-the-uk
NHS foundation trust directory and register of licensed healthcare providers	https://www.gov.uk/government/publications/nhs-foundation-trust-directory
Quota catch limits for the over 10 metres non-sector pool	https://www.gov.uk/government/publications/current-catch-limits-over-10-metre-non-sector-pool
Overseas registries	https://www.gov.uk/government/publications/overseas-registries/overseas-registries
Foreign exchange rates issued by HM Revenue and Customs (HMRC)	https://www.gov.uk/government/publications/hmrc-exchange-rates-for-2015-monthly
Dartmoor firing times	https://www.gov.uk/government/publications/dartmoor-firing-programme
Mine water treatment sites	https://www.gov.uk/government/publications/2010-to-2015-government-policy-energy-industry-and-infrastructure-licensing-and-regulation
Companies participating in the cyber security supplier to government scheme	https://www.gov.uk/government/publications/cyber-security-supplier-to-government-scheme/cyber-security-supplier-to-government-scheme-list-of-participating-companies
Companies who have been given quotas to run longer semi-trailers as part of a trial	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/321250/list-of-operators.csv/preview
Tiers 2 and 5 (UK Visas and immigration) sports governing bodies	https://www.gov.uk/government/publications/tier-2-and-5-sports-governing-bodies
Permanent secretaries	https://www.gov.uk/government/organisations/civil-service/about/our-governance
Medals, campaigns, descriptions and eligibility	https://www.gov.uk/guidance/medals-campaigns-descriptions-and-eligibility
Medicines, medical devices and blood regulation and safety marketing authorisations	https://www.gov.uk/government/collections/marketing-authorisations-lists-of-granted-licences
General licences for wildlife management	https://www.gov.uk/government/collections/general-licences-for-wildlife-management
Public register of rail passenger franchise agreements	https://www.gov.uk/government/collections/public-register-of-rail-passenger-franchise-agreements
Higher learning institutions that offer courses in the UK that can lead to a degree	https://www.gov.uk/check-a-university-is-officially-recognised/listed-bodies
Car fuel and emissions	http://carfueldata.dft.gov.uk/downloads/default.aspx
Free schools, open schools and successful applications 	https://www.gov.uk/government/publications/free-schools-open-schools-and-successful-applications
Herbal medicines granted a traditional herbal registration	https://www.gov.uk/government/publications/herbal-medicines-granted-a-traditional-herbal-registration-thr
British forces post office locations	https://www.gov.uk/government/publications/british-forces-post-office-locations
Standard industrial classification of economic activities	https://www.gov.uk/government/publications/standard-industrial-classification-of-economic-activities-sic
All the datasets that local government must submit to central government	https://www.gov.uk/government/publications/single-data-list
